,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
6,5f7m.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_E_)-[FUC(5_E_)-GAL(4_E_)]-NAG(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 6 C2 C1 NAG 3 O4 C4,E FUC 6 C1 NAG 3 O4 C4 C5,152.578,263.9155,"(['FUC(6_E_)', 'NAG(3_E_)'], [27.55, 26.96])","(['6.E', '3.E'], ['1C4', '4C1'])"
7,5f7m.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_F_)-[FUC(5_F_)-GAL(4_F_)]-NAG(3_F_)-GAL(2_F_)-BGC(1_F_),F FUC 6 C2 C1 NAG 3 O4 C4,F FUC 6 C1 NAG 3 O4 C4 C5,164.779,260.8297,"(['FUC(6_F_)', 'NAG(3_F_)'], [24.96, 28.81])","(['6.F', '3.F'], ['1C4', '4C1'])"
17,7khu.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_E_)-[FUC(5_E_)-GAL(4_E_)]-NAG(3_E_)-GAL(2_E_)-BGC(1_E_),E FUC 6 C2 C1 NAG 3 O4 C4,E FUC 6 C1 NAG 3 O4 C4 C5,157.663,258.319,"(['FUC(6_E_)', 'NAG(3_E_)'], [17.09, 19.08])","(['6.E', '3.E'], ['1C4', '4C1'])"
18,7khu.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-4DGlcpb1-ROH,FUC(6_C_)-[FUC(5_C_)-GAL(4_C_)]-NAG(3_C_)-GAL(2_C_)-BGC(1_C_),C FUC 6 C2 C1 NAG 3 O4 C4,C FUC 6 C1 NAG 3 O4 C4 C5,160.636,251.197,"(['FUC(6_C_)', 'NAG(3_C_)'], [17.97, 18.28])","(['6.C', '3.C'], ['1C4', '4C1'])"
30,3ast.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_C_)-[FUC(3_C_)-GAL(2_C_)]-NAG(1_C_)-NPO(1001_A_),C FUC 4 C2 C1 NAG 1 O4 C4,C FUC 4 C1 NAG 1 O4 C4 C5,169.614,260.3018,"(['FUC(4_C_)', 'NAG(1_C_)'], [15.24, 15.64])","(['4.C', '1.C'], ['1C4', '4C1'])"
31,3ast.pdb,LFucpa1-2DGalpb1-3[LFucpa1-4]DGlcpNAcb1-C6N1O3,FUC(4_D_)-[FUC(3_D_)-GAL(2_D_)]-NAG(1_D_)-NPO(1001_B_),D FUC 4 C2 C1 NAG 1 O4 C4,D FUC 4 C1 NAG 1 O4 C4 C5,167.832,257.532,"(['FUC(4_D_)', 'NAG(1_D_)'], [18.53, 22.07])","(['4.D', '1.D'], ['1C4', '4C1'])"
50,4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpa1-ROH,FUC(4_F_)-[GAL(3_F_)]-NAG(2_F_)-GLA(1_F_),F FUC 4 C2 C1 NAG 2 O4 C4,F FUC 4 C1 NAG 2 O4 C4 C5,164.698,264.6081,"(['FUC(4_F_)', 'NAG(2_F_)'], [10.04, 18.85])","(['4.F', '2.F'], ['1C4', '4C1'])"
51,4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpa1-ROH,FUC(4_G_)-[GAL(3_G_)]-NAG(2_G_)-GLA(1_G_),G FUC 4 C2 C1 NAG 2 O4 C4,G FUC 4 C1 NAG 2 O4 C4 C5,173.764,260.9703,"(['FUC(4_G_)', 'NAG(2_G_)'], [14.57, 15.25])","(['4.G', '2.G'], ['1C4', '4C1'])"
52,4ut5.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-ROH,FUC(4_E_)-[GAL(3_E_)]-NAG(2_E_)-GAL(1_E_),E FUC 4 C2 C1 NAG 2 O4 C4,E FUC 4 C1 NAG 2 O4 C4 C5,170.465,262.0237,"(['FUC(4_E_)', 'NAG(2_E_)'], [11.12, 16.85])","(['4.E', '2.E'], ['1C4', '4C1'])"
55,5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3LArapb1-ROH,FUC(4_E_)-[GAL(3_E_)]-NAG(2_E_)-GLA(1_E_),E FUC 4 C2 C1 NAG 2 O4 C4,E FUC 4 C1 NAG 2 O4 C4 C5,171.868,258.273,"(['FUC(4_E_)', 'NAG(2_E_)'], [11.16, 20.39])","(['4.E', '2.E'], ['1C4', '4C1'])"
56,5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-3DGalpb1-ROH,FUC(4_G_)-[GAL(3_G_)]-NAG(2_G_)-GAL(1_G_),G FUC 4 C2 C1 NAG 2 O4 C4,G FUC 4 C1 NAG 2 O4 C4 C5,169.566,258.387,"(['FUC(4_G_)', 'NAG(2_G_)'], [7.4, 15.6])","(['4.G', '2.G'], ['1C4', '4C1'])"
57,5a6z.pdb,DGalpb1-3[LFucpa1-4]DGlcpNAcb1-ROH,FUC(3_F_)-[GAL(2_F_)]-NAG(1_F_),F FUC 3 C2 C1 NAG 1 O4 C4,F FUC 3 C1 NAG 1 O4 C4 C5,171.771,259.326,"(['FUC(3_F_)', 'NAG(1_F_)'], [8.7, 20.94])","(['3.F', '1.F'], ['1C4', '4C1'])"
