,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
2,7l67.pdb,LFucpa1-3DGlcpNAcb1-ROH,FUC(2_B_)-NAG(1_B_),B FUC 2 C2 C1 NAG 1 O3 C3,B FUC 2 C1 NAG 1 O3 C3 C4,165.84,127.699,"(['FUC(2_B_)', 'NAG(1_B_)'], [10.44, 12.33])","(['2.B', '1.B'], ['1C4', '4C1'])"
6,5elc.pdb,LFucpa1-2DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,FUC(3_N_)-GAL(2_N_)-[FUC(4_N_)]-NAG(1_N_),N FUC 4 C2 C1 NAG 1 O3 C3,N FUC 4 C1 NAG 1 O3 C3 C4,171.395,142.751,"(['FUC(4_N_)', 'NAG(1_N_)'], [23.48, 25.96])","(['4.N', '1.N'], ['1C4', '4C1'])"
17,5kxd.pdb,DXylpb1-2[DManpa1-3][DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(6_F_)-[MAN(5_F_)]-[XYP(4_F_)]-BMA(3_F_)-NAG(2_F_)-[FUC(7_F_)]-NAG(1_F_)-ASN(146_C_),F FUC 7 C2 C1 NAG 1 O3 C3,F FUC 7 C1 NAG 1 O3 C3 C4,183.669,141.294,"(['FUC(7_F_)', 'NAG(1_F_)'], [22.2, 21.68])","(['7.F', '1.F'], ['1C4', '4C1'])"
47,6ycg.pdb,DXylpb1-2[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(5_C_)-[XYS(4_C_)]-BMA(3_C_)-NAG(2_C_)-[FUC(6_C_)]-NAG(1_C_)-ASN(117_A_),C FUC 6 C2 C1 NAG 1 O3 C3,C FUC 6 C1 NAG 1 O3 C3 C4,149.777,138.295,"(['FUC(6_C_)', 'NAG(1_C_)'], [26.82, 18.26])","(['6.C', '1.C'], ['1C4', '4C1'])"
66,3ugf.pdb,DManpa1-6DManpb1-4DGlcpNAcb1-4[LFucpa1-3]DGlcpNAcb1-ASN,MAN(4_I_)-BMA(3_I_)-NAG(2_I_)-[FUC(5_I_)]-NAG(1_I_)-ASN(178_B_),I FUC 5 C2 C1 NAG 1 O3 C3,I FUC 5 C1 NAG 1 O3 C3 C4,162.497,135.047,"(['FUC(5_I_)', 'NAG(1_I_)'], [21.31, 21.22])","(['5.I', '1.I'], ['1C4', '4C1'])"
68,3ugf.pdb,LFucpa1-3[DGlcpNAcb1-4]DGlcpNAcb1-ASN,NAG(3_D_)-[FUC(2_D_)]-NAG(1_D_)-ASN(178_A_),D FUC 2 C2 C1 NAG 1 O3 C3,D FUC 2 C1 NAG 1 O3 C3 C4,160.362,133.713,"(['FUC(2_D_)', 'NAG(1_D_)'], [25.04, 22.6])","(['2.D', '1.D'], ['1C4', '4C1'])"
102,5ajb.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-3LArapb1-ROH,GAL(4_E_)-[FUC(3_E_)]-NAG(2_E_)-GLA(1_E_),E FUC 3 C2 C1 NAG 2 O3 C3,E FUC 3 C1 NAG 2 O3 C3 C4,142.498,122.73,"(['FUC(3_E_)', 'NAG(2_E_)'], [6.71, 10.58])","(['3.E', '2.E'], ['1C4', '4C1'])"
103,5ajb.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-ROH,GAL(3_D_)-[FUC(2_D_)]-NAG(1_D_),D FUC 2 C2 C1 NAG 1 O3 C3,D FUC 2 C1 NAG 1 O3 C3 C4,148.143,292.9798,"(['FUC(2_D_)', 'NAG(1_D_)'], [9.14, 22.09])","(['2.D', '1.D'], ['1C4', '4C1'])"
104,5ajb.pdb,LFucpa1-3[DGalpb1-4]DGlcpNAcb1-ROH,GAL(3_I_)-[FUC(2_I_)]-NAG(1_I_),I FUC 2 C2 C1 NAG 1 O3 C3,I FUC 2 C1 NAG 1 O3 C3 C4,143.969,128.681,"(['FUC(2_I_)', 'NAG(1_I_)'], [10.44, 26.93])","(['2.I', '1.I'], ['1C4', '4C1'])"
137,2wmk.pdb,LFucpa1-2[DGalpNAca1-3]DGalpb1-4[LFucpa1-3]DGlcpNAcb1-ROH,A2G(4_D_)-[FUC(3_D_)]-GAL(2_D_)-[FUC(5_D_)]-NAG(1_D_),D FUC 5 C2 C1 NAG 1 O3 C3,D FUC 5 C1 NAG 1 O3 C3 C4,171.032,191.566,"(['FUC(5_D_)', 'NAG(1_D_)'], [23.64, 27.56])","(['5.D', '1.D'], ['1C4', '4C1'])"
