pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
7ndb.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_P_)-[NAG(2_P_)]-NAG(1_P_)-ASN(102_H_),P FUC 3 C2 C1 NAG 1 O6 C6,P FUC 3 C1 NAG 1 O6 C6 C5,121.502,157.706,"(['FUC(3_P_)', 'NAG(1_P_)'], [480.25, 466.72])","(['3.P', '1.P'], ['1C4', '4C1'])"
3bkk.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_B_)-[NAG(2_B_)]-NAG(1_B_)-ASN(109_A_),B FUC 3 C2 C1 NAG 1 O6 C6,B FUC 3 C1 NAG 1 O6 C6 C5,159.223,192.589,"(['FUC(3_B_)', 'NAG(1_B_)'], [43.4, 40.35])","(['3.B', '1.B'], ['1C4', '4C1'])"
7uac.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_C_)-[BMA(3_C_)-NAG(2_C_)]-NAG(1_C_)-ASN(414_H_),C FUC 4 C2 C1 NAG 1 O6 C6,C FUC 4 C1 NAG 1 O6 C6 C5,81.4578,109.675,"(['FUC(4_C_)', 'NAG(1_C_)'], [101.15, 103.79])","(['4.C', '1.C'], ['4C1', '4C1'])"
3d6g.pdb,DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(8_D_)-[NAG(7_D_)-MAN(6_D_)-[NAG(5_D_)-MAN(4_D_)]-BMA(3_D_)-NAG(2_D_)]-NAG(1_D_)-ASN(297_B_),D FUC 8 C2 C1 NAG 1 O6 C6,D FUC 8 C1 NAG 1 O6 C6 C5,163.058,211.389,"(['FUC(8_D_)', 'NAG(1_D_)'], [70.63, 64.66])","(['8.D', '1.D'], ['1C4', '4C1'])"
3d6g.pdb,DGlcpNAcb1-2DManpa1-3[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(8_C_)-[NAG(7_C_)-MAN(6_C_)-[NAG(5_C_)-MAN(4_C_)]-BMA(3_C_)-NAG(2_C_)]-NAG(1_C_)-ASN(297_A_),C FUC 8 C2 C1 NAG 1 O6 C6,C FUC 8 C1 NAG 1 O6 C6 C5,140.499,145.424,"(['FUC(8_C_)', 'NAG(1_C_)'], [74.65, 70.12])","(['8.C', '1.C'], ['1C4', '4C1'])"
7ni3.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_F_)-[BMA(3_F_)-NAG(2_F_)]-NAG(1_F_)-ASN(317_D_),F FUC 4 C2 C1 NAG 1 O6 C6,F FUC 4 C1 NAG 1 O6 C6 C5,146.349,190.584,"(['FUC(4_F_)', 'NAG(1_F_)'], [39.15, 18.8])","(['4.F', '1.F'], ['1C4', '4C1'])"
7ni3.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_E_)-[BMA(3_E_)-NAG(2_E_)]-NAG(1_E_)-ASN(317_C_),E FUC 4 C2 C1 NAG 1 O6 C6,E FUC 4 C1 NAG 1 O6 C6 C5,146.042,199.912,"(['FUC(4_E_)', 'NAG(1_E_)'], [27.03, 13.01])","(['4.E', '1.E'], ['1C4', '-'])"
6c6c.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(6_C_)-[MAN(5_C_)-[MAN(4_C_)]-BMA(3_C_)-NAG(2_C_)]-NAG(1_C_)-ASN(165_A_),C FUC 6 C2 C1 NAG 1 O6 C6,C FUC 6 C1 NAG 1 O6 C6 C5,165.616,96.5155,"(['FUC(6_C_)', 'NAG(1_C_)'], [36.69, 31.2])","(['6.C', '1.C'], ['1C4', '4C1'])"
5jii.pdb,DGalpb1-4DGlcpNAcb1-2DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(8_D_)-[GAL(6_D_)-NAG(5_D_)-MAN(4_D_)-[MAN(7_D_)]-BMA(3_D_)-NAG(2_D_)]-NAG(1_D_)-ASN(297_B_),D FUC 8 C2 C1 NAG 1 O6 C6,D FUC 8 C1 NAG 1 O6 C6 C5,188.854,265.2955,"(['FUC(8_D_)', 'NAG(1_D_)'], [89.88, 87.34])","(['8.D', '1.D'], ['-', '4C1'])"
7q4d.pdb,DGlcpNAcb1-2DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(7_C_)-[NAG(5_C_)-MAN(4_C_)-[MAN(6_C_)]-BMA(3_C_)-NAG(2_C_)]-NAG(1_C_)-ASN(289_A_),C FUC 7 C2 C1 NAG 1 O6 C6,C FUC 7 C1 NAG 1 O6 C6 C5,181.028,186.472,"(['FUC(7_C_)', 'NAG(1_C_)'], [92.81, 95.14])","(['7.C', '1.C'], ['1C4', '4C1'])"
7q4d.pdb,DGlcpNAcb1-2DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(7_M_)-[NAG(5_M_)-MAN(4_M_)-[MAN(6_M_)]-BMA(3_M_)-NAG(2_M_)]-NAG(1_M_)-ASN(289_B_),M FUC 7 C2 C1 NAG 1 O6 C6,M FUC 7 C1 NAG 1 O6 C6 C5,167.208,183.493,"(['FUC(7_M_)', 'NAG(1_M_)'], [94.45, 95.19])","(['7.M', '1.M'], ['1C4', '4C1'])"
5e2z.pdb,LFucpb1-3[DGlcpNAcb1-4][LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_I_)-[NAG(3_I_)]-[FUL(2_I_)]-NAG(1_I_)-ASN(169_A_),I FUC 4 C2 C1 NAG 1 O6 C6,I FUC 4 C1 NAG 1 O6 C6 C5,153.563,290.7899,"(['FUC(4_I_)', 'NAG(1_I_)'], [72.05, 69.14])","(['4.I', '1.I'], ['-', '4C1'])"
7mzf.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_B_)-[NAG(2_B_)]-NAG(1_B_)-ASN(343_A_),B FUC 3 C2 C1 NAG 1 O6 C6,B FUC 3 C1 NAG 1 O6 C6 C5,123.313,146.148,"(['FUC(3_B_)', 'NAG(1_B_)'], [85.43, 86.57])","(['3.B', '1.B'], ['1C4', '4C1'])"
6f5m.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(6_E_)-[MAN(5_E_)-[MAN(4_E_)]-BMA(3_E_)-NAG(2_E_)]-NAG(1_E_)-ASN(159_B_),E FUC 6 C2 C1 NAG 1 O6 C6,E FUC 6 C1 NAG 1 O6 C6 C5,171.303,227.638,"(['FUC(6_E_)', 'NAG(1_E_)'], [83.22, 92.61])","(['6.E', '1.E'], ['1C4', '4C1'])"
6f5m.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_D_)-[BMA(3_D_)-NAG(2_D_)]-NAG(1_D_)-ASN(109_A_),D FUC 4 C2 C1 NAG 1 O6 C6,D FUC 4 C1 NAG 1 O6 C6 C5,159.918,200.081,"(['FUC(4_D_)', 'NAG(1_D_)'], [96.21, 87.39])","(['4.D', '1.D'], ['1C4', '4C1'])"
6f5m.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_F_)-[BMA(3_F_)-NAG(2_F_)]-NAG(1_F_)-ASN(109_B_),F FUC 4 C2 C1 NAG 1 O6 C6,F FUC 4 C1 NAG 1 O6 C6 C5,170.729,195.24,"(['FUC(4_F_)', 'NAG(1_F_)'], [92.44, 74.63])","(['4.F', '1.F'], ['1C4', '4C1'])"
6f5m.pdb,DManpa1-6DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(5_C_)-[MAN(4_C_)-BMA(3_C_)-NAG(2_C_)]-NAG(1_C_)-ASN(159_A_),C FUC 5 C2 C1 NAG 1 O6 C6,C FUC 5 C1 NAG 1 O6 C6 C5,165.53,233.497,"(['FUC(5_C_)', 'NAG(1_C_)'], [68.95, 78.22])","(['5.C', '1.C'], ['1C4', '4C1'])"
6nrw.pdb,DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_F_)-[BMA(3_F_)-NAG(2_F_)]-NAG(1_F_)-ASN(51_B_),F FUC 4 C2 C1 NAG 1 O6 C6,F FUC 4 C1 NAG 1 O6 C6 C5,147.295,123.232,"(['FUC(4_F_)', 'NAG(1_F_)'], [83.42, 64.6])","(['4.F', '1.F'], ['1C4', '4C1'])"
6nrw.pdb,LFucpa1-3[DGlcpNAcb1-4][LFucpa1-6]DGlcpNAcb1-ASN,FUC(4_G_)-[NAG(3_G_)]-[FUC(2_G_)]-NAG(1_G_)-ASN(62_C_),G FUC 4 C2 C1 NAG 1 O6 C6,G FUC 4 C1 NAG 1 O6 C6 C5,104.567,187.002,"(['FUC(4_G_)', 'NAG(1_G_)'], [96.7, 70.46])","(['4.G', '1.G'], ['1C4', '4C1'])"
6nrw.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_E_)-[NAG(2_E_)]-NAG(1_E_)-ASN(62_A_),E FUC 3 C2 C1 NAG 1 O6 C6,E FUC 3 C1 NAG 1 O6 C6 C5,98.495,177.613,"(['FUC(3_E_)', 'NAG(1_E_)'], [100.53, 80.02])","(['3.E', '1.E'], ['1C4', '4C1'])"
6cwb.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_E_)-[NAG(2_E_)]-NAG(1_E_)-ASN(165_A_),E FUC 3 C2 C1 NAG 1 O6 C6,E FUC 3 C1 NAG 1 O6 C6 C5,158.757,119.089,"(['FUC(3_E_)', 'NAG(1_E_)'], [73.05, 54.96])","(['3.E', '1.E'], ['1C4', '4C1'])"
5kar.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_D_)-[NAG(2_D_)]-NAG(1_D_)-ASN(34_A_),D FUC 3 C2 C1 NAG 1 O6 C6,D FUC 3 C1 NAG 1 O6 C6 C5,161.249,134.628,"(['FUC(3_D_)', 'NAG(1_D_)'], [36.79, 30.83])","(['3.D', '1.D'], ['1C4', '-'])"
6wxz.pdb,LFucpa1-6DGlcpNAcb1-ASN,FUC(2_C_)-NAG(1_C_)-ASN(317_B_),C FUC 2 C2 C1 NAG 1 O6 C6,C FUC 2 C1 NAG 1 O6 C6 C5,164.024,173.552,"(['FUC(2_C_)', 'NAG(1_C_)'], [53.51, 56.45])","(['2.C', '1.C'], ['1C4', '4C1'])"
6wxz.pdb,LFucpa1-6DGlcpNAcb1-ASN,FUC(2_H_)-NAG(1_H_)-ASN(317_E_),H FUC 2 C2 C1 NAG 1 O6 C6,H FUC 2 C1 NAG 1 O6 C6 C5,163.103,173.042,"(['FUC(2_H_)', 'NAG(1_H_)'], [54.47, 47.85])","(['2.H', '1.H'], ['1C4', '4C1'])"
7wr8.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_C_)-[NAG(2_C_)]-NAG(1_C_)-ASN(343_R_),C FUC 3 C2 C1 NAG 1 O6 C6,C FUC 3 C1 NAG 1 O6 C6 C5,162.343,126.9,"(['FUC(3_C_)', 'NAG(1_C_)'], [29.6, 28.05])","(['3.C', '1.C'], ['-', '4C1'])"
5mdm.pdb,DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(3_D_)-[NAG(2_D_)]-NAG(1_D_)-ASN(323_F_),D FUC 3 C2 C1 NAG 1 O6 C6,D FUC 3 C1 NAG 1 O6 C6 C5,92.7461,73.071,"(['FUC(3_D_)', 'NAG(1_D_)'], [204.78, 167.6])","(['3.D', '1.D'], ['1C4', '-'])"
