"pdb","title","DOI","resolution","Mean_B_Factor","oligo","oligo_sequence","residue_links","oligo_mean_B_Factor","comments","warnings","errors"
"1FV2","THE HC FRAGMENT OF TETANUS TOXIN COMPLEXED WITH AN ANALOGUE OF ITS GANGLIOSIDE RECEPTOR GT1B","10.1074/JBC.M103285200 ",2.5,35.71,"1fv2_oligo1","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-8DNeup5Acb2-3]DGalpb1-4DGlcpb1-C2O1","SIA(5_B_)-GAL(4_B_)-NGA(3_B_)-[SIA(7_B_)-SLB(6_B_)]-GAL(2_B_)-BGC(1_B_)",46.4876,"","",""
"1FV3","THE HC FRAGMENT OF TETANUS TOXIN COMPLEXED WITH AN ANALOGUE OF ITS GANGLIOSIDE RECEPTOR GT1B","10.1074/JBC.M103285200 ",2.3,32.84,"1fv3_oligo1","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-8DNeup5Acb2-3]DGalpb1-4DGlcpb1-C2O1","SIA(5_C_)-GAL(4_C_)-NGA(3_C_)-[SIA(7_C_)-SLB(6_C_)]-GAL(2_C_)-BGC(1_C_)",54.4177,"","",""
"1FV3","THE HC FRAGMENT OF TETANUS TOXIN COMPLEXED WITH AN ANALOGUE OF ITS GANGLIOSIDE RECEPTOR GT1B","10.1074/JBC.M103285200 ",2.3,32.84,"1fv3_oligo2","DNeup5Aca2-3DGalpb1-3DGalpNAcb1-4[DNeup5Aca2-8DNeup5Acb2-3]DGalpb1-4DGlcpb1-C2O1","SIA(5_D_)-GAL(4_D_)-NGA(3_D_)-[SIA(7_D_)-SLB(6_D_)]-GAL(2_D_)-BGC(1_D_)",47.8451,"","",""
"1V0F","ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-2, 8-SIALIC ACID","10.1038/NSMB874 ",2.55,21.41,"1v0f_oligo1","DNeup5Aca2-8DNeup5Aca2-ROH","SIA(2_G_)-SIA(1_G_)",40.0777,"","",""
"1V0F","ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-2, 8-SIALIC ACID","10.1038/NSMB874 ",2.55,21.41,"1v0f_oligo2","DNeup5Aca2-8DNeup5Aca2-ROH","SIA(2_H_)-SIA(1_H_)",44.1781,"","",""
"1V0F","ENDOSIALIDASE OF BACTERIOPHAGE K1F IN COMPLEX WITH OLIGOMERIC ALPHA-2, 8-SIALIC ACID","10.1038/NSMB874 ",2.55,21.41,"1v0f_oligo3","DNeup5Aca2-8DNeup5Aca2-ROH","SIA(2_I_)-SIA(1_I_)",40.8777,"","",""
"1YYN","A COMMON BINDING SITE FOR DISIALYLLACTOSE AND A TRI-PEPTIDE IN THE C- FRAGMENT OF TETANUS NEUROTOXIN","10.1002/PROT.20595 ",2.3,36.1,"1yyn_oligo1","DNeup5Aca2-8DNeup5Aca2-3DGalpa1-4DGlcpb1-ROH","SIA(4_B_)-SIA(3_B_)-GLA(2_B_)-BGC(1_B_)",51.1959,"","",""
"2HRL","SIGLEC-7 IN COMPLEX WITH GT1B","10.1074/JBC.M601714200 ",1.85,24.46,"2hrl_oligo1","DNeup5Aca2-8DNeup5Aca2-3[NGA1-4]DGalpb1-4DGlcpb1-C2O1","NGA(5_B_)-[SIA(4_B_)-SIA(3_B_)]-GAL(2_B_)-BGC(1_B_)",28.3263,"","",""
"3GVJ","CRYSTAL STRUCTURE OF AN ENDO-NEURAMINIDASENF MUTANT","10.1016/J.JMB.2010.01.028 ",1.48,16.44,"3gvj_oligo2","DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-8SLB2-ROH","SIA(4_C_)-SIA(3_C_)-SIA(2_C_)-SLB(1_C_)",23.0744,"","",""
"3GVJ","CRYSTAL STRUCTURE OF AN ENDO-NEURAMINIDASENF MUTANT","10.1016/J.JMB.2010.01.028 ",1.48,16.44,"3gvj_oligo1","DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-8DNeup5Aca2-8SLB2-ROH","SIA(5_B_)-SIA(4_B_)-SIA(3_B_)-SIA(2_B_)-SLB(1_B_)",30.0066,"","",""
