pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
6tys.pdb,DManpa1-2[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(3_P_)-[MAN(2_P_)]-BMA(1_P_)-NAG(2_O_)-NAG(1_O_)-ASN(414_B_),P MAN 2 C2 C1 BMA 1 O2 C2,P MAN 2 C1 BMA 1 O2 C2 C3,344.2065,135.048,"(['MAN(2_P_)', 'BMA(1_P_)'], [206.23, 198.13])","(['2.P', '1.P'], ['4C1', '4C1'])"
6tys.pdb,DManpa1-2[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(3_K_)-[MAN(2_K_)]-BMA(1_K_)-NAG(2_J_)-NAG(1_J_)-ASN(414_A_),K MAN 2 C2 C1 BMA 1 O2 C2,K MAN 2 C1 BMA 1 O2 C2 C3,344.1301,135.129,"(['MAN(2_K_)', 'BMA(1_K_)'], [206.23, 198.13])","(['2.K', '1.K'], ['4C1', '4C1'])"
6tys.pdb,DManpa1-2[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(3_T_)-[MAN(2_T_)]-BMA(1_T_)-NAG(2_S_)-NAG(1_S_)-ASN(414_E_),T MAN 2 C2 C1 BMA 1 O2 C2,T MAN 2 C1 BMA 1 O2 C2 C3,344.1487,135.099,"(['MAN(2_T_)', 'BMA(1_T_)'], [206.23, 198.13])","(['2.T', '1.T'], ['4C1', '4C1'])"
5k8d.pdb,DManpa1-2DManpb1-3[DManpa1-6DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(7_E_)-MAN(6_E_)-[MAN(5_E_)-BMA(4_E_)]-BMA(3_E_)-NAG(2_E_)-NAG(1_E_)-ASN(2118_B_),E MAN 5 C2 C1 BMA 4 O2 C2,E MAN 5 C1 BMA 4 O2 C2 C3,256.246,189.666,"(['MAN(5_E_)', 'BMA(4_E_)'], [215.19, 242.35])","(['5.E', '4.E'], ['4C1', '4C1'])"
3fjw.pdb,DManpa1-2DManpb1-THR,MAN(2_D_)-BMA(1_D_)-THR(323_B_),D MAN 2 C2 C1 BMA 1 O2 C2,D MAN 2 C1 BMA 1 O2 C2 C3,222.568,143.673,"(['MAN(2_D_)', 'BMA(1_D_)'], [26.14, 24.8])","(['2.D', '1.D'], ['4C1', '4C1'])"
3fjw.pdb,DManpa1-2DManpb1-THR,MAN(2_C_)-BMA(1_C_)-THR(323_A_),C MAN 2 C2 C1 BMA 1 O2 C2,C MAN 2 C1 BMA 1 O2 C2 C3,223.868,135.112,"(['MAN(2_C_)', 'BMA(1_C_)'], [36.43, 33.34])","(['2.C', '1.C'], ['4C1', '-'])"
5v4e.pdb,DGlcpNAcb1-2DManpa1-2[DGlcpNAcb1-2DManpa1-6]DManpb1-4DGlcpNAcb1-4[LFucpa1-6]DGlcpNAcb1-ASN,FUC(8_N_)-[NAG(7_N_)-MAN(6_N_)-[NAG(5_N_)-MAN(4_N_)]-BMA(3_N_)-NAG(2_N_)]-NAG(1_N_)-ASN(297_H_),N MAN 4 C2 C1 BMA 3 O2 C2,N MAN 4 C1 BMA 3 O2 C2 C3,225.271,81.8901,"(['MAN(4_N_)', 'BMA(3_N_)'], [89.15, 86.45])","(['4.N', '3.N'], ['4C1', '4C1'])"
7ey1.pdb,DManpa1-2DManpb1-6[DManpa1-3]DManpa1-6[DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-ROH,MAN(5_E_)-BMA(4_E_)-[MAN(6_E_)]-MAN(3_E_)-[MAN(8_E_)-MAN(7_E_)]-BMA(2_E_)-NAG(1_E_),E MAN 5 C2 C1 BMA 4 O2 C2,E MAN 5 C1 BMA 4 O2 C2 C3,117.765,91.0762,"(['MAN(5_E_)', 'BMA(4_E_)'], [94.91, 82.24])","(['5.E', '4.E'], ['-', '-'])"
7ey1.pdb,DManpa1-2DManpb1-6[DManpa1-3]DManpa1-6[DManpa1-2DManpa1-3]DManpb1-4DGlcpNAcb1-ROH,MAN(5_G_)-BMA(4_G_)-[MAN(6_G_)]-MAN(3_G_)-[MAN(8_G_)-MAN(7_G_)]-BMA(2_G_)-NAG(1_G_),G MAN 5 C2 C1 BMA 4 O2 C2,G MAN 5 C1 BMA 4 O2 C2 C3,142.257,96.9372,"(['MAN(5_G_)', 'BMA(4_G_)'], [83.86, 58.19])","(['5.G', '4.G'], ['O3B', '-'])"
2xjt.pdb,DManpa1-2DManpa1-2DManpb1-ROH,MAN(3_B_)-MAN(2_B_)-BMA(1_B_),B MAN 2 C2 C1 BMA 1 O2 C2,B MAN 2 C1 BMA 1 O2 C2 C3,214.367,176.423,"(['MAN(2_B_)', 'BMA(1_B_)'], [14.23, 30.78])","(['2.B', '1.B'], ['4C1', '4C1'])"
