,pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
1,4j3x.pdb,DGlcpa1-6DGlcpa1-4DGlcpa1-4DGlcpa1-6DGlcpa1-4DGlcpa1-4DGlcpa1-ROH,GLC(7_B_)-GLC(6_B_)-GLC(5_B_)-GLC(4_B_)-GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 4 C2 C1 GLC 3 O6 C6,B GLC 4 C1 GLC 3 O6 C6 C5,164.465,169.37,"(['GLC(4_B_)', 'GLC(3_B_)'], [18.91, 15.05])","(['4.B', '3.B'], ['4C1', '4C1'])"
7,5f7r.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_B_)-GLC(1_B_),B GLC 2 C2 C1 GLC 1 O6 C6,B GLC 2 C1 GLC 1 O6 C6 C5,179.603,103.564,"(['GLC(2_B_)', 'GLC(1_B_)'], [17.05, 18.56])","(['2.B', '1.B'], ['4C1', '4C1'])"
8,5f7r.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_C_)-GLC(1_C_),C GLC 2 C2 C1 GLC 1 O6 C6,C GLC 2 C1 GLC 1 O6 C6 C5,181.902,101.494,"(['GLC(2_C_)', 'GLC(1_C_)'], [16.3, 16.57])","(['2.C', '1.C'], ['4C1', '4C1'])"
9,5i0d.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_C_)-GLC(1_C_),C GLC 2 C2 C1 GLC 1 O6 C6,C GLC 2 C1 GLC 1 O6 C6 C5,190.477,172.597,"(['GLC(2_C_)', 'GLC(1_C_)'], [17.18, 20.89])","(['2.C', '1.C'], ['4C1', '4C1'])"
12,5i0d.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_J_)-GLC(1_J_),J GLC 2 C2 C1 GLC 1 O6 C6,J GLC 2 C1 GLC 1 O6 C6 C5,187.494,172.377,"(['GLC(2_J_)', 'GLC(1_J_)'], [16.9, 21.0])","(['2.J', '1.J'], ['4C1', '4C1'])"
14,2d0f.pdb,DGlcpa1-4DGlcpa1-4DGlcpa1-6DGlcpa1-4DGlcpb1-ROH,GLC(5_B_)-GLC(4_B_)-GLC(3_B_)-GLC(2_B_)-BGC(1_B_),B GLC 3 C2 C1 GLC 2 O6 C6,B GLC 3 C1 GLC 2 O6 C6 C5,170.831,175.173,"(['GLC(3_B_)', 'GLC(2_B_)'], [21.59, 14.57])","(['3.B', '2.B'], ['4C1', '4C1'])"
74,7lsu.pdb,DGlcpa1-6DGlcpa1-4DGlcpa1-4DGlcpb1-ROH,GLC(4_C_)-GLC(3_C_)-GLC(2_C_)-BGC(1_C_),C GLC 4 C2 C1 GLC 3 O6 C6,C GLC 4 C1 GLC 3 O6 C6 C5,185.82,191.075,"(['GLC(4_C_)', 'GLC(3_C_)'], [22.18, 18.95])","(['4.C', '3.C'], ['4C1', '4C1'])"
89,5awq.pdb,DGlcpa1-6DGlcpa1-4DGlcpa1-ROH,GLC(3_B_)-GLC(2_B_)-GLC(1_B_),B GLC 3 C2 C1 GLC 2 O6 C6,B GLC 3 C1 GLC 2 O6 C6 C5,192.358,165.582,"(['GLC(3_B_)', 'GLC(2_B_)'], [11.44, 11.76])","(['3.B', '2.B'], ['4C1', '4C1'])"
90,5awq.pdb,DGlcpa1-6DGlcpa1-ROH,GLC(2_C_)-GLC(1_C_),C GLC 2 C2 C1 GLC 1 O6 C6,C GLC 2 C1 GLC 1 O6 C6 C5,190.745,187.715,"(['GLC(2_C_)', 'GLC(1_C_)'], [22.5, 28.92])","(['2.C', '1.C'], ['4C1', '4C1'])"
96,4zze.pdb,DGlcpa1-6DGlcpa1-4DGlcpb1-ROH,GLC(3_D_)-GLC(2_D_)-GLC(1_D_),D GLC 3 C2 C1 GLC 2 O6 C6,D GLC 3 C1 GLC 2 O6 C6 C5,196.929,205.138,"(['GLC(3_D_)', 'GLC(2_D_)'], [9.87, 10.29])","(['3.D', '2.D'], ['4C1', '4C1'])"
