pdb,glycam name,glycan,phi site,psi site,phi,psi,B factor(Avg),BFMP ring shape
1zpu.pdb,DManpa1-3[DManpa1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-ASN,MAN(6_e_)-[MAN(5_e_)]-MAN(4_e_)-[MAN(7_e_)]-BMA(3_e_)-NAG(2_e_)-NAG(1_e_)-ASN(198_E_),e MAN 4 C2 C1 BMA 3 O6 C6,e MAN 4 C1 BMA 3 O6 C6 C5,129.242,226.726,"(['MAN(4_e_)', 'BMA(3_e_)'], [80.42, 87.3])","(['4.e', '3.e'], ['BO3', '4C1'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(5_d_)-[MAN(4_d_)]-BMA(3_d_)-NAG(2_d_)-NAG(1_d_)-ASN(194_E_),d MAN 5 C2 C1 BMA 3 O6 C6,d MAN 5 C1 BMA 3 O6 C6 C5,240.09300000000002,258.21,"(['MAN(5_d_)', 'BMA(3_d_)'], [89.24, 83.89])","(['5.d', '3.d'], ['-', '-'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(5_G_)-[MAN(4_G_)]-BMA(3_G_)-NAG(2_G_)-NAG(1_G_)-ASN(194_A_),G MAN 5 C2 C1 BMA 3 O6 C6,G MAN 5 C1 BMA 3 O6 C6 C5,264.9376,259.555,"(['MAN(5_G_)', 'BMA(3_G_)'], [92.45, 84.59])","(['5.G', '3.G'], ['-', '-'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(6_T_)-[MAN(5_T_)]-MAN(4_T_)-[MAN(7_T_)]-BMA(3_T_)-NAG(2_T_)-NAG(1_T_)-ASN(198_C_),T MAN 4 C2 C1 BMA 3 O6 C6,T MAN 4 C1 BMA 3 O6 C6 C5,187.728,178.942,"(['MAN(4_T_)', 'BMA(3_T_)'], [77.14, 82.7])","(['4.T', '3.T'], ['4C1', '4C1'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(5_O_)-[MAN(4_O_)]-BMA(3_O_)-NAG(2_O_)-NAG(1_O_)-ASN(77_B_),O MAN 5 C2 C1 BMA 3 O6 C6,O MAN 5 C1 BMA 3 O6 C6 C5,227.526,130.248,"(['MAN(5_O_)', 'BMA(3_O_)'], [75.18, 72.69])","(['5.O', '3.O'], ['5S1', '4C1'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-ASN,MAN(5_f_)-[MAN(4_f_)]-BMA(3_f_)-NAG(2_f_)-NAG(1_f_)-ASN(77_E_),f MAN 5 C2 C1 BMA 3 O6 C6,f MAN 5 C1 BMA 3 O6 C6 C5,92.4188,212.453,"(['MAN(5_f_)', 'BMA(3_f_)'], [79.4, 76.49])","(['5.f', '3.f'], ['BO3', '-'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(5_M_)-[MAN(4_M_)]-BMA(3_M_)-NAG(2_M_)-NAG(1_M_)-ASN(194_B_),M MAN 5 C2 C1 BMA 3 O6 C6,M MAN 5 C1 BMA 3 O6 C6 C5,264.4484,214.984,"(['MAN(5_M_)', 'BMA(3_M_)'], [95.05, 86.31])","(['5.M', '3.M'], ['-', '4C1'])"
1zpu.pdb,DManpa1-3[DManpa1-6]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(5_S_)-[MAN(4_S_)]-BMA(3_S_)-NAG(2_S_)-NAG(1_S_)-ASN(194_C_),S MAN 5 C2 C1 BMA 3 O6 C6,S MAN 5 C1 BMA 3 O6 C6 C5,277.8673,252.608,"(['MAN(5_S_)', 'BMA(3_S_)'], [95.97, 91.27])","(['5.S', '3.S'], ['14B', '-'])"
1zpu.pdb,DManpa1-3DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAca1-ASN,MAN(5_H_)-MAN(4_H_)-[MAN(6_H_)]-BMA(3_H_)-NAG(2_H_)-NAG(1_H_)-ASN(198_A_),H MAN 4 C2 C1 BMA 3 O6 C6,H MAN 4 C1 BMA 3 O6 C6 C5,195.004,183.747,"(['MAN(4_H_)', 'BMA(3_H_)'], [77.6, 86.84])","(['4.H', '3.H'], ['4C1', '4C1'])"
1zpu.pdb,DManpa1-3DManpa1-6[DManpa1-3]DManpb1-4DGlcpNAcb1-4DGlcpNAcb1-ASN,MAN(5_j_)-MAN(4_j_)-[MAN(6_j_)]-BMA(3_j_)-NAG(2_j_)-NAG(1_j_)-ASN(198_F_),j MAN 4 C2 C1 BMA 3 O6 C6,j MAN 4 C1 BMA 3 O6 C6 C5,242.841,170.752,"(['MAN(4_j_)', 'BMA(3_j_)'], [78.35, 82.45])","(['4.j', '3.j'], ['-', '4C1'])"
